web-scraper-order,description_raw,price_raw,mileage_raw,fuel_type_raw,location_raw,price,mileage,fuel_type_Diesel,price_cat,lat,lon
1733471023-88,SUNLIGHT ADVENTURE T FORD 680,CHF 68'000.–,20'000 km,Diesel,"OBERMÜHLEWEG 5, 7302 LANDQUART",68000,20000,1,50000 - 99999,46.955711364746094,9.570183753967285
1733471025-89,VW GRAND CALIFORNIA VW VW_GRAND_CALIFORNIA_600_MAN_TGE,CHF 57'900.–,43'627 km,Diesel,"GRUBENSTRASSE 24, 8620 WETZIKON",57900,43627,1,50000 - 99999,47.31379699707031,8.796833038330078
1733471027-90,"VW GRAND CALIFORNIA KASTENWAGEN MIT FESTEM HOCHDACH, GROSSEM FAHRKOMFORT UND DUSCHE",CHF 53'900.–,50'763 km,Diesel,"GRUBENSTRASSE 24, 8620 WETZIKON",53900,50763,1,50000 - 99999,47.31379699707031,8.796833038330078
1733471032-92,VW T4 CALIFORNIA,CHF 21'900.–,136'000 km,Diesel,"BURRIRAIN 56A, 2575 TÄUFFELEN",21900,136000,1,20000 - 49999,47.070011138916016,7.203824520111084
1733471037-93,VW TRANSPORTER,CHF 13'900.–,188'000 km,Diesel,"RUE CENTRALE 7, 1563 DOMPIERRE FR",13900,188000,1,0 - 19999,46.8519401550293,6.990228176116943
1733471039-94,VW CALIFORNIA 4X4 KLIMA,CHF 25'900.–,179'000 km,Benzin,"BURRIRAIN 56A, 2575 TÄUFFELEN",25900,179000,0,20000 - 49999,47.070011138916016,7.203824520111084
1733471041-95,VW CALIFORNIA,CHF 13'500.–,238'500 km,Diesel,"BURRIRAIN 56A, 2575 TÄUFFELEN",13500,238500,1,0 - 19999,47.070011138916016,7.203824520111084
1733471044-96,MERCEDES-BENZ MARCO POLO HORIZON 250 D 4MATIC 7G-TRONIC,CHF 44'000.–,167'500 km,Diesel,"RIEDMATTLI 5, 6423 SEEWEN",44000,167500,1,20000 - 49999,47.03178024291992,8.624926567077637
1733471051-99,FIAT CAMPING-CAR,CHF 8'000.–,95'000 km,Diesel,"RTE D'AUTIGNY 4, 1744 CHÉNENS",8000,95000,1,0 - 19999,46.74061584472656,7.001736640930176
1733471053-100,"MERCEDES-BENZ 312D ***MIT EL. HUBBETT(LÄNGSBETT), SONDERMODEL***",CHF 29'900.–,40'000 km,Diesel,"BRUNNENWIESENSTRASSE 8, 8570 WEINFELDEN",29900,40000,1,20000 - 49999,47.56602096557617,9.091235160827637
1733471056-101,DETHLEFFS JUST CAMP T 6812 EB AUF BASIS CITROEN JUMPER,CHF 82'600.–,10'000 km,Diesel,"GEWERBESTRASSE 1, 8451 KLEINANDELFINGEN",82600,10000,1,50000 - 99999,47.60587692260742,8.68687629699707
1733471058-102,VW WESTFALIA,CHF 14'900.–,119'499 km,Benzin,"VOLTASTRASSE 89, 4056 BASEL",14900,119499,0,0 - 19999,47.570777893066406,7.576108455657959
1733471063-104,MERCEDES-BENZ MARCO POLO 300 D 4M A,CHF 88'000.–,20'000 km,Diesel,"GOLDSCHLÄGISTRASSE 19, 8952 SCHLIEREN",88000,20000,1,50000 - 99999,47.40155029296875,8.43859577178955
1733471066-105,FIAT PÖSSL,CHF 49'900.–,16'000 km,Diesel,"CLOS LÀ OUTRE 28, 2732 LOVERESSE",49900,16000,1,20000 - 49999,47.23579025268555,7.236842155456543
1733471068-106,VW T6.1 CALIFORNIA OCEAN,CHF 53'900.–,86'223 km,Diesel,"GRUBENSTRASSE 24, 8620 WETZIKON",53900,86223,1,50000 - 99999,47.31379699707031,8.796833038330078
1733471071-107,ROLLER TEAM LIV DUO 2024,CHF 64'900.–,25'800 km,Diesel,"LANDSTRASSE 10, 6418 ROTHENTHURM",64900,25800,1,50000 - 99999,47.0999870300293,8.67253589630127
1733471073-108,DETHLEFFS GLOBEBUS 11,CHF 39'800.–,43'100 km,Diesel,"OBERFELD 2, 6037 ROOT",39800,43100,1,20000 - 49999,47.10284423828125,8.376439094543457
1733471076-109,ROLLER TEAM 284 M2,CHF 52'890.–,37'700 km,Diesel,"HAUPTSTRASSE 70, 8546 ISLIKON",52890,37700,1,50000 - 99999,47.54833221435547,8.849271774291992
1733471078-110,OPEL VIVARO B 16 CDTI CAMPER VAN,CHF 27'500.–,184'822 km,Diesel,"BUECHBERGSTRASSE 10, 9422 STAAD SG",27500,184822,1,20000 - 49999,47.47590255737305,9.550376892089844
