web-scraper-order,description_raw,location_raw,price_raw,price,mileage_raw,mileage,fuel_type_raw,fuel_type_Diesel,bfs_name,bfs_number,lat,lon
1733470922-50,MAURER Starliner 20,"Lerchenweg 14. Oder Läufelfingen ramsachstrasse 26, 4538 Oberbipp",CHF 59'900.–,59900,38'000 km,38000,Diesel,1,Basel-Landschaft,['13'],47.523582458496094,7.711702823638916
1733470933-53,FIAT 1.5Q 2.3TDI,"Vorbuchenstrasse 13, 8303 Bassersdorf",CHF 5'500.–,5500,119'000 km,119000,Diesel,1,Luzern,['03'],47.08992385864258,8.253633499145508
1733470938-55,SUN LIVING S-SERIES S70 DF (A276),"Wannenweg 1, 4133 Pratteln",CHF 71'900.–,71900,14'500 km,14500,Diesel,1,Thurgau,['20'],47.54833221435547,8.849271774291992
1733470940-56,FIAT 18 2.8TD,"Murtenstrasse 59, 1784 Courtepin (Kanton Freiburg)",CHF 11'300.–,11300,96'000 km,96000,Diesel,1,Zürich,['01'],47.255882263183594,8.845612525939941
1733470942-57,MERCEDES-BENZ Hymer,"Bassersdorferstrasse 117, 8302 Kloten",CHF 19'870.–,19870,51'000 km,51000,Diesel,1,Zürich,['01'],47.50075149536133,8.767881393432617
1733470945-58,VW T5 2.5 TDI PD 4MOTION Camper Wohnmobil,"Buzibachstrasse 47, 6023 Rothenburg",CHF 21'800.–,21800,184'000 km,184000,Diesel,1,St. Gallen,['17'],47.25289535522461,9.001060485839844
1733470949-60,GLOBECAR,"Lerchenweg 14. Oder Läufelfingen ramsachstrasse 26, 4538 Oberbipp",CHF 42'500.–,42500,16'000 km,16000,Diesel,1,Vaud,['22'],46.60051727294922,6.5255560874938965
1733470952-61,ROLLER TEAM Kronos 284 TL20,"Hauptstrasse 70, 8546 Islikon",CHF 59'890.–,59890,34'700 km,34700,Diesel,1,Luzern,['03'],47.23344039916992,7.90991735458374
1733470956-63,VW California Oce. Lib 4M A,"Ohrbühlstrasse 37, 8409 Winterthur",CHF 58'900.–,58900,42'300 km,42300,Diesel,1,Vaud,['22'],46.73106002807617,6.534222602844238
1733470958-64,VW Typ 2 Reimo Hochdach,"Breitenstrasse 1, 8725 Gebertingen",CHF 19'900.–,19900,169'580 km,169580,Benzin,0,St. Gallen,['17'],47.31846237182617,9.172804832458496
1733470961-65,VW T6.1 California 2.0 TDI Ocean Liberty 4Motion,"St. Gallerstrasse 99, 9032 Engelburg",CHF 71'900.–,71900,21'000 km,21000,Diesel,1,Bern,['02'],47.09516906738281,7.561470985412598
